"Filename","Title","Author","Subject","Keywords","Producer","Creator","CreationDate","ModDate","NumPages"
"DR--37405941.pdf",null,"XP Installer",null,null,"Adobe Acrobat Pro 11.0.9","Adobe Acrobat Pro 11.0.9","D:20141201124650-06'00'","D:20141201124650-06'00'",21
"DR--37443893.pdf",null,"Deborah Rule",null,null,"Adobe Acrobat Pro 11.0.9","Adobe Acrobat Pro 11.0.9","D:20141201171325-06'00'","D:20141201171325-06'00'",31
"DR--37451288.pdf","Revisiting the STEM Workforce: A Companion to Science and Engineering Indicators 2014 (NSB-2015-10)","PDF prepared by K.D., IDB/DPS",null,null,"Adobe PDF Library 10.0.1","Adobe InDesign CS6 (Macintosh)","D:20150513154318-04'00'","D:20150518134330-04'00'",46
"DR--374904518.pdf","OIG’S AUDIT QUALITY CONTROL","actona",null,null,"Adobe PDF Library 10.0","Acrobat PDFMaker 10.1 for Word","D:20140921134104-04'00'","D:20140921134134-04'00'",31
"DR--375076680.pdf",null,"Hoecker, Carl W.",null,null,"Adobe PDF Library 15.0","Acrobat PDFMaker 17 for Word","D:20170919124515-04'00'","D:20170919124943-04'00'",17
"DR--375147755.pdf","Microsoft Word - FY15 1st Quarter Transportation Report (Final)","gregorlb",null,null,"Acrobat Distiller 10.1.13 (Windows)","PScript5.dll Version 5.2.2","D:20150211064257-08'00'","D:20150211064257-08'00'",14
"DR--375201157.pdf","2004 Annual Report of All-Terrain Vehicle (ATV)-Related Deaths and Injuries",null,null,null,"Adobe Acrobat 7.0 Image Conversion Plug-in","Adobe Acrobat 7.0","D:20051006145815-04'00'","D:20051006150109-04'00'",20
"DR--375290689.pdf","R:\\htsa\\ARCHIVES\\pdf\\9110\\911C200.WPF",null,null,null,"Acrobat Distiller 6.0 (Windows)","PScript5.dll Version 5.2","D:20050217142135-05'00'","D:20050217142135-05'00'",14
"DR--375511619.pdf",null,null,null,null,null,null,"D:20180511095518-04'00'","D:20180511095518-04'00'",30
"DR--376071353.pdf",null,null,null,null,null,"www.isitoolbox.com","D:20180410231537-07'00'","D:20180411082442-07'00'",127
"DR--37608094.pdf",null,"B2PD9SRH",null,null,"Adobe Acrobat Pro 11.0.9","Adobe Acrobat Pro 11.0.9","D:20141201160212-06'00'","D:20141201160212-06'00'",76
"DR--376090657.pdf","R:\\htsa\\ARCHIVES\\pdf\\9110\\911C850.WPF",null,null,null,"Acrobat Distiller 6.0 (Windows)","PScript5.dll Version 5.2","D:20050217142327-05'00'","D:20050217142327-05'00'",45
"DR--376282777.pdf",null,null,null,null,"Adobe PDF Library 10.0.1","Adobe InDesign CS6 (Windows)","D:20121106121430-05'00'","D:20121109122004-05'00'",70
"DR--37631565.pdf",null,"Nick Aumen",null,null,"Adobe Acrobat Pro 11.0.9","Adobe Acrobat Pro 11.0.9","D:20141201142803-06'00'","D:20141201142803-06'00'",47
"DR--376348872.pdf",null,null,null,null,"Corel PDF Engine Version 18.0.0.200","PrintServer180","D:20170828183424Z","D:20170828183424Z",16
"DR--376348936.pdf",null,null,null,null,"Corel PDF Engine Version 18.0.0.200","PrintServer180","D:20180710182531Z","D:20180710182531Z",11
"DR--376461927.pdf",null,"MCARR001",null,null,"Corel PDF Engine Version 1.14.0.755","PrintServer140","D:20141106195734Z","D:20141106195734Z",14
"DR--376601583.pdf","US Coral Reef Task Force","bparker",null,null,"Adobe PDF Library 10.0","Acrobat PDFMaker 10.1 for Word","D:20120606115700-04'00'","D:20120606115712-04'00'",23
"DR--376631914.pdf","Circular 4 Copyright Office Fees","United States Copyright Office",null,null,"Adobe PDF Library 15.0","Adobe InDesign CC 13.1 (Macintosh)","D:20200323135312-04'00'","D:20200323135501-04'00'",11
"DR--376656572.pdf","gsk-115466-reporting-and-analysis-plan-redact","GlaxoSmithKline ",null,null,"PDFTron PDFNet, V6.60386\n",null,"D:20171112231941-05'00'","D:20171127111339-05'00'",117
"DR--377196560.pdf","2001 Electrocutions Associated with Consumer Products, Hazard Analysis Division, Directorate for Epidemiology","EMP",null,null,"Acrobat PDFWriter 5.0 for Windows NT","Electrocutions2001.doc - Microsoft Word","D:20041026143816Z","D:20041026144135-03'00'",10
"DR--37739626.pdf","Annual Report on U","Preferred Customer",null,null,"Adobe PDF Library 10.0","Acrobat PDFMaker 10.1 for Word","D:20140815145630-06'00'","D:20140815174048-04'00'",96
"DR--37752578.pdf","Exploring New Paradigms for the Developmental Disabilities Assistance and Bill of Rights Act: Supplement to the 2011 NCD Publication Rising Expectations: The Developmental Disabilities Act Revisited","National Council on Disability",null,null,"Adobe PDF Library 10.0","Acrobat PDFMaker 10.1 for Word","D:20120322185047-04'00'","D:20120330134746+05'30'",90
"DR--37763733.pdf","The CFTC Division of Enforcement - Enforcement Manual","CFTC",null,null,"Adobe PDF Library 15.0","Acrobat PDFMaker 17 for Word","D:20190508104828-04'00'","D:20190508154507-04'00'",59
"DR--378038513.pdf","Annual_Performance_Report_FY2017","Buck Sutter",null,null,"Adobe PDF Library 11.0","Acrobat PDFMaker 11 for Word","D:20180302143435-06'00'","D:20180302151013-06'00'",31
"DR--378302457.pdf","Microsoft PowerPoint - Copy of Business Meeting Climate Change Remarks_Lelei Presentation.pptx","spadron",null,null,"Acrobat Distiller 7.0.5 (Windows)","PScript5.dll Version 5.2.2","D:20120910080601-04'00'","D:20120918145207-04'00'",16
"DR--378362541.pdf",null,"pahamilt",null,null,"Adobe PDF Library 15.0","Acrobat PDFMaker 17 for Word","D:20171207123536-05'00'","D:20171211102418-05'00'",15
"DR--37853996.pdf",null,"JBowie",null,null,"Adobe Acrobat Pro 11.0.9","Adobe Acrobat Pro 11.0.9","D:20141201144456-06'00'","D:20141201144456-06'00'",33
"DR--378586675.pdf",null,null,null,null,"Adobe PDF Library 15.0","Acrobat PDFMaker 17 for Word","D:20181129123053-05'00'","D:20181129123102-05'00'",23
"DR--37877927.pdf","Spring 2017 Research Data Management Needs Assessment Survey Results","Ann Glusker & Ann Madhavan",null,null,"Adobe PDF Library 15.0","Adobe Acrobat Pro 2017 17.11.30127","D:20190226130514-08'00'","D:20190226130932-08'00'",23
"DR--378804550.pdf",null,"Coudurier, Monica",null,null,"Adobe Acrobat Pro 11.0.23","Adobe Acrobat Pro 11.0.23","D:20180207145733-05'00'","D:20180207145749-05'00'",35
"DR--378829635.pdf",null,null,null,null,null,null,"D:20180426150806-04'00'","D:20180426150845-04'00'",28
"DR--378835119.pdf","Why are you coming to this retreat?","wguertal",null,null,"Adobe PDF Library 9.0","Acrobat PDFMaker 9.1 for PowerPoint","D:20100512131109-05'00'","D:20100512131126-05'00'",13
"DR--37928315.pdf",null,null,null,null,"Adobe PDF Library 15.0","Adobe InDesign CC 2015 (Macintosh)","D:20160328155810-04'00'","D:20160329160621-04'00'",18
"DR--37944431.pdf","A Profile of Older Americans: 2015","Susan Jenkins",null,null,null,null,"D:20160518152441-04'00'","D:20160519110926-04'00'",17
"DR--379498146.pdf","Slide 1","Aaron Borisenko",null,null,"Microsoft® Office PowerPoint® 2007","Microsoft® Office PowerPoint® 2007","D:20121113173343-08'00'","D:20121113173343-08'00'",51
"DR--379680678.pdf","-","-",null,null,"www.adlibsoftware.com: CTP (5.4.3.32930) OS (Windows 2012,2,0,64)","Text Document","D:20180328102515-04'00'","D:20180329151805-04'00'",101
"DR--379799256.pdf","Dementia Capable States and Communities: The Basics",null,null,null,null,null,"D:20150616091217-04'00'","D:20150616091309-04'00'",15
"DR--380305555.pdf",null,null,null,null,"Corel PDF Engine Version 18.0.0.200","PrintServer180","D:20180418182623Z","D:20180418182623Z",12
"DR--380348303.pdf","Ocean Observatories Initiative Facility Board (OOIFB) Administrative Support Office (nsf18527) | NSF – National Science Foundation","nzachary(IRM/DAS)",null,null,"Acrobat Web Capture 11.0","Adobe Acrobat 11.0","D:20180302102102-05'00'","D:20180305093541-05'00'",12
"DR--38045562.pdf","D:\\ncd\\newsroom\\publications\\The Accessible Future June 21 2001 Pub.wpd",null,null,null,"Acrobat Distiller 5.0 (Windows)","AdobePS5.dll Version 5.2","D:20010620181602Z","D:20010620152104-02'00'",143
"DR--380913763.pdf","Microsoft Word - Textiles.print.june1.doc","stubbs_j",null,null,"Acrobat Distiller 6.0 (Windows)","PScript5.dll Version 5.2","D:20040616191043-04'00'","D:20040616191043-04'00'",47
"DR--381082796.pdf",null,null,null,null,"Acrobat Distiller 17.0 (Windows)","PScript5.dll Version 5.2.2","D:20190306102714-05'00'","D:20190530141903-04'00'",22
"DR--38108398.pdf","NCD Budget narrative  FY 2009","Michael Collins",null,null,"Microsoft® Word 2010","Microsoft® Word 2010","D:20110609103236-04'00'","D:20110609103236-04'00'",45
"DR--381101411.pdf",null,null,null,null,"Microsoft® Word 2013","Microsoft® Word 2013","D:20160219114817-05'00'","D:20160219114817-05'00'",21
"DR--38113636.pdf",null,"Borisenko, Lynn",null,null,"Adobe Acrobat Pro 11.0.23","Adobe Acrobat Pro 11.0.23","D:20190809123110-04'00'","D:20190809123330-04'00'",49
"DR--38118600.pdf",null,null,null,null,"www.adlibsoftware.com: CTP (5.10.0.7216) OS (Windows 2012,2,0,64); modified using iText 2.1.7 by 1T3XT","Microsoft Word(12.0)","D:20180104075926-05'00'","D:20180309091332-05'00'",47
"DR--381784215.pdf","Microsoft Word - ! 2 National Treatment and Market Access 2 February - US fix","DHope",null,null,"GPL Ghostscript 8.15","PScript5.dll Version 5.2.2","D:20160203124147","D:20160203124147",66
"DR--38190687.pdf","MBNA America Bank, N.A.","OCC",null,null,"Acrobat Distiller 5.0.5 (Windows)","Acrobat PDFMaker 5.0 for Word","D:20030617180214Z","D:20030617140659-04'00'",16
"DR--38203210.pdf","COVER PAGE","EOP",null,null,"Acrobat Distiller 7.0.5 (Windows)","Acrobat PDFMaker 7.0.7 for Word","D:20070627180952-04'00'","D:20070627180958-04'00'",10
"DR--382043488.pdf","WORKPLACE RIGHTS For Congressional Employees","OFFICE OF COMPLIANCE",null,null,"Adobe PDF Library 15.0","Adobe InDesign CC 2017 (Macintosh)","D:20170824143433-04'00'","D:20170827153126-07'00'",16
"DR--382562986.pdf","Microsoft Word - Final Report Cover Page.doc","jordanr",null,null,"Acrobat Distiller 5.0 (Windows)","PScript5.dll Version 5.2","D:20020207202255Z","D:20020207161317-05'00'",36
"DR--38259849.pdf","Microsoft Word - ncd102_FinancialIncentives.doc","smartin",null,null,"Acrobat Distiller 7.0.5 (Windows)","PScript5.dll Version 5.2.2","D:20080728170150-04'00'","D:20080807080603-04'00'",240
"DR--382652141.pdf",null,null,null,null,"Adobe Acrobat 7.0 Image Conversion Plug-in","Adobe Acrobat 7.0","D:20080304154754-05'00'","D:20140502095819-04'00'",61
"DR--382652587.pdf",null,null,null,null,"Adobe Acrobat 7.0 Image Conversion Plug-in","Adobe Acrobat 7.0","D:20080304153958-05'00'","D:20140502100147-04'00'",11
"DR--382652614.pdf",null,null,null,null,"Adobe Acrobat 7.0 Image Conversion Plug-in","Adobe Acrobat 7.0","D:20080304154017-05'00'","D:20140502100016-04'00'",44
"DR--382652722.pdf",null,null,null,null,"Adobe Acrobat 7.0 Image Conversion Plug-in","Adobe Acrobat 7.0","D:20080304160216-05'00'","D:20140502100337-04'00'",54
"DR--382653040.pdf",null,null,null,null,"Adobe Acrobat 7.0 Image Conversion Plug-in","Adobe Acrobat 7.0","D:20080304155058-05'00'","D:20140502100531-04'00'",112
"DR--382654790.pdf",null,null,null,null,"Adobe Acrobat 7.0 Image Conversion Plug-in","Adobe Acrobat 7.0","D:20071218101329-05'00'","D:20140502110243-04'00'",232
"DR--382655189.pdf",null,null,null,null,"Adobe Acrobat 7.0 Image Conversion Plug-in","Adobe Acrobat 7.0","D:20071218102112-05'00'","D:20140502110611-04'00'",330
"DR--382656526.pdf",null,null,null,null,"Adobe Acrobat 7.0 Image Conversion Plug-in","Adobe Acrobat 7.0","D:20071218101848-05'00'","D:20140502110911-04'00'",199
"DR--382657029.pdf",null,null,null,null,"Adobe Acrobat 7.0 Image Conversion Plug-in","Adobe Acrobat 7.0","D:20071217075554-05'00'","D:20140502112122-04'00'",123
"DR--382657211.pdf",null,null,null,null,"Adobe Acrobat 7.0 Image Conversion Plug-in","Adobe Acrobat 7.0","D:20071217074355-05'00'","D:20140502112431-04'00'",62
"DR--382657332.pdf",null,null,null,null,"Adobe Acrobat 7.0 Image Conversion Plug-in","Adobe Acrobat 7.0","D:20071217075504-05'00'","D:20140502111917-04'00'",125
